n: cast	n: casting	DERIVES_INTO	N N
n: incident	a: incidental	DERIVES_INTO	N A
n: blast	n: blasting	DERIVES_INTO	N N
n: mechanics	a: mechanical	DERIVES_INTO	N A
n: te	n: tage	DERIVES_INTO	N N
n: foundation	a: foundational	DERIVES_INTO	N A
n: section	a: sectional	DERIVES_INTO	N A
n: ethic	a: ethical	DERIVES_INTO	N A
n: tension	n: tensioning	DERIVES_INTO	N N
n: match	n: matching	DERIVES_INTO	N N
n: store	n: storage	DERIVES_INTO	N N
n: continent	a: continental	DERIVES_INTO	N A
n: situation	a: situational	DERIVES_INTO	N A
n: logic	a: logical	DERIVES_INTO	N A
n: start	n: starting	DERIVES_INTO	N N
n: finance	a: financial	DERIVES_INTO	N A
n: dimension	a: dimensional	DERIVES_INTO	N A
n: accident	a: accidental	DERIVES_INTO	N A
n: environment	a: environmental	DERIVES_INTO	N A
n: ton	a: tonal	DERIVES_INTO	N A
n: logistic	a: logistical	DERIVES_INTO	N A
n: herit	n: heritage	DERIVES_INTO	N N
n: transition	a: transitional	DERIVES_INTO	N A
n: direction	a: directional	DERIVES_INTO	N A
n: electr	a: electric	DERIVES_INTO	N A
n: gener	a: generic	DERIVES_INTO	N A
n: soc	a: social	DERIVES_INTO	N A
n: roll	n: rolling	DERIVES_INTO	N N
n: test	n: testing	DERIVES_INTO	N N
n: warrant	n: warrantee	DERIVES_INTO	N N
n: photograph	a: photographic	DERIVES_INTO	N A
n: ce	n: cage	DERIVES_INTO	N N
n: institution	a: institutional	DERIVES_INTO	N A
n: supplement	a: supplemental	DERIVES_INTO	N A
n: head	n: heading	DERIVES_INTO	N N
n: remedy	a: remedial	DERIVES_INTO	N A
n: post	a: postal	DERIVES_INTO	N A
n: mass	n: massage	DERIVES_INTO	N N
n: aerodynamics	a: aerodynamical	DERIVES_INTO	N A
n: magnet	a: magnetic	DERIVES_INTO	N A
n: cross	n: crossing	DERIVES_INTO	N N
n: region	a: regional	DERIVES_INTO	N A
n: tool	n: tooling	DERIVES_INTO	N N
n: politics	a: political	DERIVES_INTO	N A
n: train	n: training	DERIVES_INTO	N N
n: axis	a: axial	DERIVES_INTO	N A
n: pack	n: packing	DERIVES_INTO	N N
n: process	n: processing	DERIVES_INTO	N N
n: danger	a: dangerous	DERIVES_INTO	N A
n: acoust	a: acoustic	DERIVES_INTO	N A
n: fight	n: fighting	DERIVES_INTO	N N
n: word	n: wording	DERIVES_INTO	N N
n: electron	a: electronic	DERIVES_INTO	N A
n: engineer	n: engineering	DERIVES_INTO	N N
n: botanic	a: botanical	DERIVES_INTO	N A
n: continu	a: continual	DERIVES_INTO	N A
n: repower	n: repowering	DERIVES_INTO	N N
n: resident	a: residential	DERIVES_INTO	N A
n: occupation	a: occupational	DERIVES_INTO	N A
n: origin	a: original	DERIVES_INTO	N A
n: department	a: departmental	DERIVES_INTO	N A
n: information	a: informational	DERIVES_INTO	N A
n: pub	a: pubic	DERIVES_INTO	N A
n: burn	n: burning	DERIVES_INTO	N N
n: rotation	a: rotational	DERIVES_INTO	N A
n: province	a: provincial	DERIVES_INTO	N A
n: government	a: governmental	DERIVES_INTO	N A
n: equ	a: equal	DERIVES_INTO	N A
n: load	n: loading	DERIVES_INTO	N N
n: percent	n: percentage	DERIVES_INTO	N N
n: hunt	n: hunting	DERIVES_INTO	N N
n: margin	a: marginal	DERIVES_INTO	N A
n: report	n: reporting	DERIVES_INTO	N N
n: fluid	a: fluidic	DERIVES_INTO	N A
n: electric	a: electrical	DERIVES_INTO	N A
n: classic	a: classical	DERIVES_INTO	N A
n: hazard	a: hazardous	DERIVES_INTO	N A
n: block	n: blockage	DERIVES_INTO	N N
n: stell	n: stelling	DERIVES_INTO	N N
n: view	n: viewing	DERIVES_INTO	N N
n: leg	a: legal	DERIVES_INTO	N A
n: logarithm	a: logarithmic	DERIVES_INTO	N A
n: convention	a: conventional	DERIVES_INTO	N A
n: astronautics	a: astronautical	DERIVES_INTO	N A
n: monitor	n: monitoring	DERIVES_INTO	N N
n: doctor	a: doctoral	DERIVES_INTO	N A
n: critic	a: critical	DERIVES_INTO	N A
n: form	a: formal	DERIVES_INTO	N A
n: economics	a: economical	DERIVES_INTO	N A
n: sector	a: sectoral	DERIVES_INTO	N A
n: cross-section	a: cross-sectional	DERIVES_INTO	N A
n: sept	a: septic	DERIVES_INTO	N A
n: audit	n: auditing	DERIVES_INTO	N N
n: commerce	a: commercial	DERIVES_INTO	N A
n: budget	n: budgeting	DERIVES_INTO	N N
n: season	a: seasonal	DERIVES_INTO	N A
n: acoustics	a: acoustical	DERIVES_INTO	N A
n: fraction	a: fractional	DERIVES_INTO	N A
n: pe	n: page	DERIVES_INTO	N N
n: ste	n: stage	DERIVES_INTO	N N
n: disadvantage	a: disadvantageous	DERIVES_INTO	N A
n: increment	a: incremental	DERIVES_INTO	N A
n: element	a: elemental	DERIVES_INTO	N A
n: behaviour	a: behavioural	DERIVES_INTO	N A
n: paint	n: painting	DERIVES_INTO	N N
n: min	n: mining	DERIVES_INTO	N N
n: proportion	a: proportional	DERIVES_INTO	N A
n: vestige	a: vestigial	DERIVES_INTO	N A
n: territory	a: territorial	DERIVES_INTO	N A
n: pitch	n: pitching	DERIVES_INTO	N N
n: stand	n: standing	DERIVES_INTO	N N
n: natur	a: natural	DERIVES_INTO	N A
n: physics	a: physical	DERIVES_INTO	N A
n: self-start	n: self-starting	DERIVES_INTO	N N
n: bird	n: birding	DERIVES_INTO	N N
n: fund	n: funding	DERIVES_INTO	N N
n: sign	n: signage	DERIVES_INTO	N N
n: contract	n: contracting	DERIVES_INTO	N N
n: cloth	n: clothing	DERIVES_INTO	N N
n: tangent	a: tangential	DERIVES_INTO	N A
n: optic	a: optical	DERIVES_INTO	N A
n: education	a: educational	DERIVES_INTO	N A
n: addition	a: additional	DERIVES_INTO	N A
n: function	n: functioning	DERIVES_INTO	N N
n: av	a: avian	DERIVES_INTO	N A
n: controversy	a: controversial	DERIVES_INTO	N A
n: torsion	a: torsional	DERIVES_INTO	N A
n: reason	n: reasoning	DERIVES_INTO	N N
n: discount	n: discounting	DERIVES_INTO	N N
